Epoch,Test_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score
0.0,2.1615710258483887,0.09333333333333334,0.05557464366372025,0.09333333333333334,0.05590949974495044
1.0,1.712570309638977,0.8016666666666666,0.8170073183976766,0.8016666666666666,0.7848424038869113
2.0,1.453606367111206,0.8083333333333333,0.838597846466559,0.8083333333333332,0.7926714782071319
3.0,1.0071179866790771,0.8416666666666667,0.8560251765443736,0.8416666666666667,0.835636521446106
4.0,0.7518032789230347,0.85,0.889612515432642,0.85,0.8479674217091975
5.0,0.4545109272003174,0.9,0.9277586233855583,0.9,0.9034331617701025
6.0,0.8403653502464294,0.8933333333333333,0.9269344065458484,0.8933333333333334,0.8898627038643517
7.0,1.1266080141067505,0.935,0.9446373255671169,0.935,0.9339239097215927
8.0,0.6489284634590149,0.9466666666666667,0.9588480392156863,0.9466666666666668,0.9426763892605478
9.0,1.1594812870025635,0.9383333333333334,0.944538712921066,0.9383333333333335,0.9380861280963068
10.0,0.557891845703125,0.9516666666666667,0.9554196769052203,0.9516666666666665,0.9508324682626719
11.0,0.8242435455322266,0.965,0.9693950229664515,0.965,0.9649941748981425
12.0,0.8132168054580688,0.9616666666666667,0.9666575779441472,0.9616666666666668,0.9613865840584118
13.0,0.4702281057834625,0.9533333333333334,0.9600438316387243,0.9533333333333335,0.9528958609762385
14.0,0.566085159778595,0.9766666666666667,0.9786232684939583,0.9766666666666666,0.9765767820815926
15.0,0.5096897482872009,0.975,0.9752887266017519,0.975,0.9749504646958678
16.0,0.5718305706977844,0.98,0.9822471120916211,0.98,0.9800760844505536
17.0,0.24348030984401703,0.975,0.9763963161021985,0.975,0.9748125932414071
18.0,0.31636276841163635,0.9433333333333334,0.9501469344268533,0.9433333333333334,0.9421347527294553
19.0,0.54584139585495,0.995,0.9951608848667672,0.9950000000000001,0.9949984994497848
20.0,0.5561549067497253,0.9866666666666667,0.9878663003663003,0.9866666666666667,0.986629202731541
21.0,0.4084230065345764,0.9883333333333333,0.9892191142191141,0.9883333333333333,0.9883111139192519
22.0,0.3450942039489746,0.9866666666666667,0.9867948717948717,0.9866666666666667,0.9866653327997864
23.0,0.4016072154045105,0.9833333333333333,0.9839208410636981,0.9833333333333333,0.9833534163431071
24.0,0.3928435146808624,0.985,0.9861027744431105,0.985,0.9849633698817494
25.0,0.3506641685962677,0.9833333333333333,0.984015543539353,0.9833333333333334,0.9832981918895233
26.0,0.43519797921180725,0.9916666666666667,0.9918262176665538,0.9916666666666668,0.9916648327497816
27.0,0.3707020878791809,0.9866666666666667,0.9870216049382717,0.9866666666666668,0.9866588173731031
28.0,0.42978325486183167,0.995,0.9951608848667672,0.9950000000000001,0.9949984994497848
29.0,0.46191906929016113,0.9866666666666667,0.9874555882959243,0.9866666666666667,0.9866452810694604
30.0,0.3556620180606842,0.99,0.9902789339006043,0.9900000000000001,0.9899955271929014
31.0,0.32422903180122375,0.9916666666666667,0.9918262176665538,0.9916666666666668,0.9916648327497816
32.0,0.4193301200866699,0.9883333333333333,0.9892191142191141,0.9883333333333333,0.9883482172937904
33.0,0.3187376856803894,0.9933333333333333,0.9933973589435774,0.9933333333333335,0.9933326665999932
34.0,0.358420193195343,0.995,0.9951608848667672,0.9950000000000001,0.9949984994497848
35.0,0.3064718544483185,0.9916666666666667,0.9918262176665538,0.9916666666666668,0.9916648327497816
36.0,0.22250983119010925,0.99,0.9901282051282051,0.9900000000000002,0.9899986661331198
37.0,0.2704625427722931,0.9916666666666667,0.9916993464052289,0.9916666666666668,0.9916664999833316
