Epoch,Test_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score
0.0,2.4969685077667236,0.07666666666666666,0.012899434669568896,0.07666666666666667,0.022083250282373262
1.0,2.5292203426361084,0.31833333333333336,0.33364236682643117,0.31833333333333336,0.218870400675518
2.0,2.506410598754883,0.435,0.4568210725811672,0.435,0.3825520122950172
3.0,2.499880313873291,0.49833333333333335,0.5161252080735631,0.49833333333333335,0.4515943761681309
4.0,2.4833858013153076,0.525,0.5316871420249109,0.525,0.47154112146818566
5.0,2.486215353012085,0.565,0.5899661082351219,0.5650000000000001,0.5132822799765714
6.0,2.5022058486938477,0.6083333333333333,0.6416040600740667,0.6083333333333333,0.5643665498739682
7.0,2.4770679473876953,0.6533333333333333,0.7381340335544778,0.6533333333333333,0.6102552782401648
8.0,2.416407585144043,0.6433333333333333,0.7041789768525598,0.6433333333333333,0.6051406647925991
9.0,2.396636486053467,0.675,0.7483269205932866,0.6749999999999999,0.6438738295442185
10.0,2.3725125789642334,0.6833333333333333,0.7389184008724881,0.6833333333333332,0.6527338445347141
11.0,2.3509676456451416,0.7083333333333334,0.7814708831688185,0.7083333333333334,0.6868273048933501
12.0,2.250797986984253,0.7033333333333334,0.7326357584673753,0.7033333333333333,0.6834833509517049
13.0,2.2368240356445312,0.7316666666666667,0.7695618560831249,0.7316666666666666,0.7163939488551604
14.0,2.3523995876312256,0.77,0.7961225361067084,0.7699999999999999,0.757023041350637
15.0,2.349677085876465,0.78,0.8001499909398847,0.7799999999999999,0.7698621697803376
16.0,2.2787234783172607,0.775,0.7931644699826724,0.7749999999999999,0.7659817087652893
17.0,2.219383955001831,0.785,0.80836462826223,0.785,0.7755243504834737
18.0,2.296225070953369,0.7983333333333333,0.8122162631450557,0.7983333333333333,0.7874032379518905
19.0,2.179561138153076,0.805,0.8113925228965004,0.805,0.7956483786265235
20.0,2.040149211883545,0.7783333333333333,0.8012481596603854,0.7783333333333334,0.7699825570030243
21.0,2.1402742862701416,0.8233333333333334,0.8271623103005811,0.8233333333333333,0.8156412425512514
22.0,2.00150728225708,0.815,0.8257409369135124,0.815,0.8082899424902522
23.0,2.1756086349487305,0.81,0.8122295713801724,0.8099999999999999,0.7980355747216507
24.0,1.8876100778579712,0.795,0.8102777484598306,0.7949999999999999,0.7831493425432842
25.0,1.816533088684082,0.82,0.8282423528029327,0.8199999999999998,0.8110036187438542
26.0,1.8177006244659424,0.82,0.8231009203468896,0.82,0.8109584024160346
27.0,1.8957407474517822,0.8266666666666667,0.8270146289439189,0.8266666666666667,0.8175291809293936
28.0,1.8032443523406982,0.825,0.8304583743792375,0.8249999999999998,0.8152957047027897
29.0,1.6409239768981934,0.8283333333333334,0.8286305638032645,0.8283333333333335,0.8182578551431976
30.0,1.6546133756637573,0.8383333333333334,0.8374649277043686,0.8383333333333334,0.8299871867906782
31.0,1.4731191396713257,0.8383333333333334,0.8442836990205436,0.8383333333333334,0.8335125885898629
32.0,1.5168523788452148,0.825,0.8281483162921259,0.8250000000000002,0.8150300825905489
33.0,1.578385591506958,0.8333333333333334,0.8353229937227943,0.8333333333333334,0.8263704014153425
34.0,1.4710060358047485,0.835,0.8360083717226575,0.835,0.8271938990385398
35.0,1.3319816589355469,0.8333333333333334,0.8429267451326274,0.8333333333333334,0.8292809414072465
36.0,1.4262826442718506,0.8383333333333334,0.8400870176090955,0.8383333333333334,0.8331662995088762
37.0,1.3646506071090698,0.8533333333333334,0.8564049203183997,0.8533333333333334,0.8479804985565004
38.0,1.4398677349090576,0.845,0.8453159215549695,0.8450000000000001,0.8374117907677108
39.0,1.2835615873336792,0.865,0.8691383918136967,0.8649999999999999,0.8619277963631994
40.0,1.1712008714675903,0.8766666666666667,0.8827399118878206,0.8766666666666665,0.8750246811055962
41.0,1.2439854145050049,0.8766666666666667,0.879108110133464,0.8766666666666666,0.8739311561811616
42.0,1.2408360242843628,0.87,0.8739018754508359,0.8699999999999998,0.8667255307271096
43.0,1.1310847997665405,0.8866666666666667,0.887319552464055,0.8866666666666667,0.8843648807130843
44.0,1.1357002258300781,0.8766666666666667,0.8891817808870771,0.8766666666666665,0.874597114562588
45.0,1.0299166440963745,0.8866666666666667,0.8896532865282866,0.8866666666666667,0.8855149422021031
46.0,1.0021737813949585,0.895,0.897773998313178,0.895,0.893960678793548
47.0,0.9894193410873413,0.885,0.8893637449155744,0.8849999999999999,0.8833887487516502
48.0,0.9313273429870605,0.8833333333333333,0.8871210263309438,0.8833333333333334,0.8816589330123742
49.0,0.9711900353431702,0.8983333333333333,0.9008102290742213,0.8983333333333333,0.8968683129426561
50.0,0.9052229523658752,0.9033333333333333,0.9107708755721259,0.9033333333333333,0.9035452765458265
51.0,0.8784658908843994,0.9183333333333333,0.9245488719426342,0.9183333333333333,0.9183636836175614
52.0,0.7955465912818909,0.9083333333333333,0.9122233594341642,0.9083333333333333,0.9087601408397963
53.0,0.9000478386878967,0.9083333333333333,0.9152929262873242,0.9083333333333333,0.9073386920509502
54.0,0.8303610682487488,0.91,0.9126721772625134,0.91,0.9104674552480563
55.0,0.8343681693077087,0.8966666666666666,0.9022619259500796,0.8966666666666666,0.8960315705239196
56.0,0.8089785575866699,0.905,0.9083039689077145,0.9049999999999998,0.9040845096128803
57.0,0.8791571259498596,0.91,0.9164024395068763,0.91,0.909749821427572
58.0,0.7645554542541504,0.92,0.9305368125776005,0.9199999999999999,0.9202544935542457
59.0,0.6894955635070801,0.9183333333333333,0.9214139076244389,0.9183333333333333,0.9192489189577313
60.0,0.8213996887207031,0.9266666666666666,0.9326285413044966,0.9266666666666666,0.9269745212217897
61.0,0.8148403167724609,0.9233333333333333,0.9324313028368706,0.9233333333333332,0.922176557703457
62.0,0.7787455916404724,0.9266666666666666,0.9301668637102094,0.9266666666666666,0.926817208935906
63.0,0.7219124436378479,0.9233333333333333,0.9277590078390117,0.9233333333333335,0.9230537612778905
64.0,0.7599758505821228,0.9183333333333333,0.9233563765985587,0.9183333333333333,0.9191982978389895
65.0,0.709676206111908,0.93,0.9310270109179534,0.93,0.9302621909582925
66.0,0.7351651191711426,0.9366666666666666,0.9389490367754356,0.9366666666666665,0.9367704431734105
67.0,0.836475670337677,0.9216666666666666,0.9242497347337638,0.9216666666666665,0.9208136081533325
68.0,0.6902714371681213,0.915,0.9194596086924847,0.9149999999999999,0.9147449741683044
69.0,0.8052436709403992,0.9316666666666666,0.9350190068836017,0.9316666666666666,0.9314544930994616
70.0,0.7632718682289124,0.9266666666666666,0.9296302912934401,0.9266666666666666,0.9267476079708445
71.0,0.6454149484634399,0.9283333333333333,0.9341786073403721,0.9283333333333333,0.9277453067120831
72.0,0.7058628797531128,0.9316666666666666,0.9358505623985501,0.9316666666666665,0.9317451921442323
73.0,0.767471969127655,0.9383333333333334,0.9402447610607795,0.9383333333333334,0.9384041603295735
74.0,0.711245596408844,0.9366666666666666,0.9390116032917889,0.9366666666666666,0.936937273373743
75.0,0.7119438052177429,0.9383333333333334,0.941607693112481,0.9383333333333334,0.9383281427388046
76.0,0.7411527037620544,0.945,0.9464241363519945,0.945,0.9452817703203261
77.0,0.6766660809516907,0.9383333333333334,0.9403151802569117,0.9383333333333331,0.9385645638381125
78.0,0.7072564959526062,0.945,0.9464759034128986,0.945,0.9451206310292708
79.0,0.7010301351547241,0.9416666666666667,0.9434909113217937,0.9416666666666665,0.9415872441165796
80.0,0.6835228204727173,0.9566666666666667,0.9579864335508795,0.9566666666666667,0.9567233618151699
81.0,0.8192561268806458,0.95,0.9552617886749214,0.9500000000000001,0.9499153087056625
82.0,0.6482211947441101,0.9466666666666667,0.9473442300779538,0.9466666666666667,0.9468439931939011
83.0,0.7232045531272888,0.9516666666666667,0.9605912061794415,0.9516666666666668,0.9513825027386223
84.0,0.6288549900054932,0.9283333333333333,0.9339807183557184,0.9283333333333333,0.9279409471980306
85.0,0.6979916095733643,0.955,0.9563819031042948,0.9550000000000001,0.9551196807461002
86.0,0.5918607115745544,0.9483333333333334,0.9499254498486058,0.9483333333333334,0.9482718100431454
87.0,0.742480456829071,0.9433333333333334,0.9448892889691413,0.9433333333333334,0.9434358343444741
88.0,0.7058209180831909,0.9483333333333334,0.9499348898684886,0.9483333333333336,0.9481969506404128
89.0,0.6638684868812561,0.9416666666666667,0.9433982597941256,0.9416666666666668,0.9414218247369935
90.0,0.6280218362808228,0.9566666666666667,0.957521937362304,0.9566666666666667,0.9565780348174812
91.0,0.6884610056877136,0.9516666666666667,0.9535662111966219,0.9516666666666668,0.9518838636982
92.0,0.7037560343742371,0.9433333333333334,0.946290943540811,0.9433333333333335,0.9430491692086491
93.0,0.7494123578071594,0.94,0.9436494158396384,0.9400000000000001,0.9389929617075645
94.0,0.6941719055175781,0.955,0.9557350855658523,0.9550000000000001,0.954976983970741
95.0,0.6414860486984253,0.945,0.9492130865604785,0.945,0.9440535301479298
96.0,0.8358004689216614,0.945,0.9481391259883908,0.9450000000000002,0.9442507640850796
97.0,0.7484008073806763,0.95,0.9537044350722833,0.9500000000000002,0.9500361729840211
98.0,0.5567022562026978,0.9466666666666667,0.9506886835930953,0.9466666666666667,0.9458323873836522
99.0,0.6706548929214478,0.9533333333333334,0.9557767752833825,0.9533333333333335,0.9529109962278278
100.0,0.7765687108039856,0.9533333333333334,0.95550460146237,0.9533333333333335,0.9535816560449221
