Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,6.932618,0.0
1.0,1.0,6.9449987,0.0
1.0,2.0,6.9410315,0.0
1.0,3.0,6.920936,0.0
1.0,4.0,6.9572315,0.0
1.0,5.0,6.9749656,0.0
1.0,6.0,6.9347453,0.0
1.0,7.0,6.942182,0.0
1.0,8.0,6.8815284,0.0
1.0,9.0,6.9218884,0.0
1.0,10.0,6.950523,0.0
1.0,11.0,6.8899784,0.0
1.0,12.0,6.8919897,0.0
1.0,13.0,6.9576836,0.0
1.0,14.0,6.9320283,0.0
1.0,15.0,6.9366164,0.0
1.0,16.0,6.898275,0.0
1.0,17.0,6.960137,0.0
1.0,18.0,6.9207025,0.0
1.0,19.0,6.9424467,0.0
1.0,20.0,6.933788,0.0
1.0,21.0,6.943184,0.0
1.0,22.0,6.9643917,0.0
1.0,23.0,6.92395,0.0
1.0,24.0,6.893429,0.0
1.0,25.0,6.8898144,0.0
1.0,26.0,6.894417,0.0
1.0,27.0,6.8941164,0.0
1.0,28.0,6.878259,0.0
1.0,29.0,6.9266562,0.0
1.0,30.0,6.912919,0.0
1.0,31.0,6.9026527,0.0
1.0,32.0,6.906346,0.0
1.0,33.0,6.8970175,0.0
1.0,34.0,6.899458,0.0
1.0,35.0,6.9271197,0.0
1.0,36.0,6.9018836,0.0625
1.0,37.0,6.937665,0.0
1.0,38.0,6.8990355,0.0
1.0,39.0,6.927342,0.0
1.0,40.0,6.9861407,0.0
1.0,41.0,6.9269466,0.0
1.0,42.0,6.9040937,0.0
1.0,43.0,6.8914256,0.0
1.0,44.0,6.9180393,0.0
1.0,45.0,6.882278,0.0
1.0,46.0,6.9179335,0.0
1.0,47.0,6.8878427,0.0
1.0,48.0,6.9368744,0.0
1.0,49.0,6.921543,0.0
1.0,50.0,6.924479,0.0
1.0,51.0,6.9230304,0.0
1.0,52.0,6.9160876,0.0
1.0,53.0,6.897439,0.0
1.0,54.0,6.89843,0.0
1.0,55.0,6.907629,0.0
1.0,56.0,6.9211216,0.0
1.0,57.0,6.8910365,0.0
1.0,58.0,6.8939414,0.0
1.0,59.0,6.896596,0.0
1.0,60.0,6.895244,0.0
1.0,61.0,6.896263,0.0
1.0,62.0,6.9089637,0.0
1.0,63.0,6.9069195,0.0
1.0,64.0,6.9014335,0.0
1.0,65.0,6.906612,0.0
1.0,66.0,6.9214983,0.0
1.0,67.0,6.891254,0.0
1.0,68.0,6.906986,0.0
1.0,69.0,6.88457,0.0
1.0,70.0,6.8943295,0.0
1.0,71.0,6.9196625,0.0
1.0,72.0,6.9099007,0.0
1.0,73.0,6.886262,0.0
1.0,74.0,6.909353,0.0
1.0,75.0,6.9166303,0.0
1.0,76.0,6.8945947,0.0
1.0,77.0,6.9225054,0.0
1.0,78.0,6.8496857,0.0625
1.0,79.0,6.9135447,0.0
1.0,80.0,6.901489,0.0
1.0,81.0,6.9173055,0.0
1.0,82.0,6.9047623,0.0
1.0,83.0,6.9051237,0.0
1.0,84.0,6.917706,0.0
1.0,85.0,6.8712373,0.0
1.0,86.0,6.9214,0.0
1.0,87.0,6.9206595,0.0625
1.0,88.0,6.870882,0.0
1.0,89.0,6.909255,0.0
1.0,90.0,6.874828,0.0
1.0,91.0,6.8949,0.0
1.0,92.0,6.9205713,0.0
1.0,93.0,6.872977,0.0
1.0,94.0,6.879745,0.0
1.0,95.0,6.8966074,0.0
1.0,96.0,6.8917966,0.0
1.0,97.0,6.8679357,0.0
1.0,98.0,6.9067206,0.0
1.0,99.0,6.8981957,0.0
1.0,100.0,6.8833637,0.0
1.0,101.0,6.8586497,0.0
1.0,102.0,6.8636775,0.0
1.0,103.0,6.8703294,0.0625
1.0,104.0,6.858216,0.0
1.0,105.0,6.8763475,0.0
1.0,106.0,6.8566694,0.0
1.0,107.0,6.862418,0.0
1.0,108.0,6.8998923,0.0
1.0,109.0,6.8793664,0.0
1.0,110.0,6.8607183,0.0
1.0,111.0,6.8965273,0.0
1.0,112.0,6.955158,0.0
1.0,113.0,6.9109025,0.0
1.0,114.0,6.9087205,0.0
1.0,115.0,6.888142,0.0
1.0,116.0,6.8613424,0.0
1.0,117.0,6.85911,0.0
1.0,118.0,6.9037433,0.0
1.0,119.0,6.9015117,0.0
1.0,120.0,6.8500304,0.0
1.0,121.0,6.8693566,0.0
1.0,122.0,6.8917933,0.0
1.0,123.0,6.8695173,0.0
1.0,124.0,6.8560195,0.0
1.0,125.0,6.895092,0.0
1.0,126.0,6.880719,0.0
1.0,127.0,6.871129,0.0
1.0,128.0,6.864584,0.0
1.0,129.0,6.8905435,0.0
1.0,130.0,6.847553,0.0
1.0,131.0,6.853556,0.0
1.0,132.0,6.876161,0.0
1.0,133.0,6.8845897,0.0
1.0,134.0,6.884123,0.0
1.0,135.0,6.866486,0.0
1.0,136.0,6.8896737,0.0
1.0,137.0,6.8192406,0.0
1.0,138.0,6.8324366,0.0
1.0,139.0,6.903554,0.0
1.0,140.0,6.8581505,0.0
1.0,141.0,6.867071,0.0
1.0,142.0,6.808483,0.0
1.0,143.0,6.849609,0.0
1.0,144.0,6.8056335,0.0625
1.0,145.0,6.843182,0.0
1.0,146.0,6.857322,0.0
1.0,147.0,6.863628,0.0
1.0,148.0,6.8478475,0.0
1.0,149.0,6.854999,0.0
1.0,150.0,6.8721514,0.0
2.0,151.0,6.86605,0.0
2.0,152.0,6.848595,0.0
2.0,153.0,6.820304,0.0
2.0,154.0,6.8527303,0.0
2.0,155.0,6.8702602,0.0
2.0,156.0,6.8403697,0.0
2.0,157.0,6.8177505,0.0
2.0,158.0,6.8351874,0.0
2.0,159.0,6.8459554,0.0625
2.0,160.0,6.85814,0.0
2.0,161.0,6.80006,0.0
2.0,162.0,6.873312,0.0
2.0,163.0,6.87102,0.0
2.0,164.0,6.82147,0.0
2.0,165.0,6.8364096,0.0
2.0,166.0,6.8692384,0.0
2.0,167.0,6.8148627,0.0
2.0,168.0,6.855358,0.0
2.0,169.0,6.861451,0.0
2.0,170.0,6.8346314,0.0
2.0,171.0,6.8153014,0.0
2.0,172.0,6.8809986,0.0
2.0,173.0,6.8296666,0.0
2.0,174.0,6.8572817,0.0
2.0,175.0,6.8432865,0.0
2.0,176.0,6.834769,0.0
2.0,177.0,6.852138,0.0
2.0,178.0,6.8256154,0.0
2.0,179.0,6.8036942,0.0
2.0,180.0,6.8214626,0.0
2.0,181.0,6.869699,0.0
2.0,182.0,6.849395,0.0
2.0,183.0,6.8311663,0.0
2.0,184.0,6.8461976,0.0
2.0,185.0,6.773539,0.0625
2.0,186.0,6.851039,0.0
2.0,187.0,6.8613787,0.0
2.0,188.0,6.8110027,0.0
2.0,189.0,6.841665,0.0
2.0,190.0,6.8154755,0.0
2.0,191.0,6.807501,0.0
2.0,192.0,6.844942,0.0
2.0,193.0,6.7649994,0.0
2.0,194.0,6.783717,0.0
2.0,195.0,6.852332,0.0
2.0,196.0,6.795848,0.0
2.0,197.0,6.828693,0.0
2.0,198.0,6.8234015,0.0
2.0,199.0,6.8226833,0.0
2.0,200.0,6.7549496,0.0
2.0,201.0,6.825303,0.0
2.0,202.0,6.8284316,0.0
2.0,203.0,6.861884,0.0
2.0,204.0,6.8277926,0.0
2.0,205.0,6.822836,0.0
2.0,206.0,6.7887893,0.0
2.0,207.0,6.825987,0.0
2.0,208.0,6.7754188,0.0625
2.0,209.0,6.7858324,0.0
2.0,210.0,6.773842,0.0625
2.0,211.0,6.8351817,0.0
2.0,212.0,6.784327,0.0
2.0,213.0,6.8295374,0.0
2.0,214.0,6.8572135,0.0
2.0,215.0,6.848873,0.0
2.0,216.0,6.8048835,0.0
2.0,217.0,6.78885,0.0
2.0,218.0,6.810815,0.0
2.0,219.0,6.827746,0.0
2.0,220.0,6.7700534,0.0625
2.0,221.0,6.818695,0.0
2.0,222.0,6.7985697,0.0
2.0,223.0,6.8053923,0.0
2.0,224.0,6.832049,0.0
2.0,225.0,6.8320584,0.0
2.0,226.0,6.7980666,0.0625
2.0,227.0,6.807159,0.0
2.0,228.0,6.7913723,0.0625
2.0,229.0,6.8209524,0.0
2.0,230.0,6.7934146,0.0
2.0,231.0,6.7734284,0.0625
2.0,232.0,6.802918,0.0
2.0,233.0,6.7887983,0.0625
2.0,234.0,6.762712,0.0
2.0,235.0,6.7711205,0.0625
2.0,236.0,6.764788,0.0625
2.0,237.0,6.7966228,0.125
2.0,238.0,6.7925587,0.0625
2.0,239.0,6.8060384,0.0
2.0,240.0,6.8035803,0.0
2.0,241.0,6.745186,0.0625
2.0,242.0,6.8023095,0.0
2.0,243.0,6.843057,0.0
2.0,244.0,6.7405496,0.125
2.0,245.0,6.795367,0.0
2.0,246.0,6.7721696,0.0
2.0,247.0,6.821082,0.0
2.0,248.0,6.7716203,0.0
2.0,249.0,6.7859683,0.0
2.0,250.0,6.8027506,0.0
2.0,251.0,6.7941794,0.0
2.0,252.0,6.794409,0.0
2.0,253.0,6.792687,0.0625
2.0,254.0,6.741053,0.125
2.0,255.0,6.762543,0.0625
2.0,256.0,6.746996,0.0
2.0,257.0,6.7743015,0.0625
2.0,258.0,6.709371,0.0
2.0,259.0,6.8087783,0.0
2.0,260.0,6.7938147,0.0
2.0,261.0,6.7626357,0.0
2.0,262.0,6.7576904,0.0625
2.0,263.0,6.829127,0.0
2.0,264.0,6.764441,0.0
2.0,265.0,6.8402567,0.0
2.0,266.0,6.801603,0.0
2.0,267.0,6.777268,0.0625
2.0,268.0,6.7662067,0.0
2.0,269.0,6.7858505,0.0
2.0,270.0,6.7630806,0.0
2.0,271.0,6.7722406,0.0
2.0,272.0,6.7687955,0.0
2.0,273.0,6.764639,0.0
2.0,274.0,6.8068314,0.0
2.0,275.0,6.7573256,0.0
2.0,276.0,6.717768,0.125
2.0,277.0,6.767277,0.0625
2.0,278.0,6.7593713,0.0
2.0,279.0,6.731028,0.0
2.0,280.0,6.775671,0.0
2.0,281.0,6.741702,0.0625
2.0,282.0,6.7523932,0.0
2.0,283.0,6.734889,0.0
2.0,284.0,6.7528014,0.0
2.0,285.0,6.774416,0.0
2.0,286.0,6.7351003,0.0625
2.0,287.0,6.7186203,0.0
2.0,288.0,6.7685366,0.0625
2.0,289.0,6.736619,0.0625
2.0,290.0,6.72539,0.0
2.0,291.0,6.7544003,0.0
2.0,292.0,6.749841,0.0
2.0,293.0,6.720362,0.0625
2.0,294.0,6.7270145,0.0625
2.0,295.0,6.7608905,0.0
2.0,296.0,6.7486606,0.0
2.0,297.0,6.7051296,0.0625
2.0,298.0,6.681945,0.0
2.0,299.0,6.738814,0.0
2.0,300.0,6.694269,0.1875
3.0,301.0,6.739898,0.0
3.0,302.0,6.664296,0.0625
3.0,303.0,6.724805,0.0
3.0,304.0,6.7189574,0.0
3.0,305.0,6.7365065,0.125
3.0,306.0,6.6909304,0.0625
3.0,307.0,6.7237244,0.125
3.0,308.0,6.7937202,0.0
3.0,309.0,6.7085934,0.0
3.0,310.0,6.7497888,0.125
3.0,311.0,6.667418,0.0
3.0,312.0,6.7275333,0.0
3.0,313.0,6.742443,0.0
3.0,314.0,6.6721134,0.0625
3.0,315.0,6.7128444,0.0625
3.0,316.0,6.686878,0.0
3.0,317.0,6.746318,0.0
3.0,318.0,6.6891794,0.0625
3.0,319.0,6.730073,0.0625
3.0,320.0,6.6882,0.0625
3.0,321.0,6.665772,0.0625
3.0,322.0,6.675551,0.125
3.0,323.0,6.73749,0.0
3.0,324.0,6.665209,0.125
3.0,325.0,6.6974554,0.0
3.0,326.0,6.688554,0.0625
3.0,327.0,6.6955624,0.0
3.0,328.0,6.6577597,0.0
3.0,329.0,6.611991,0.125
3.0,330.0,6.675806,0.0625
3.0,331.0,6.7221994,0.0
3.0,332.0,6.686562,0.0
3.0,333.0,6.6548004,0.0625
3.0,334.0,6.6947374,0.0
3.0,335.0,6.709696,0.0
3.0,336.0,6.6883554,0.0625
3.0,337.0,6.677417,0.125
3.0,338.0,6.6787157,0.0625
3.0,339.0,6.7128572,0.0625
3.0,340.0,6.682423,0.0625
3.0,341.0,6.6094236,0.125
3.0,342.0,6.683741,0.0
3.0,343.0,6.591273,0.125
3.0,344.0,6.685172,0.0625
3.0,345.0,6.707408,0.0625
3.0,346.0,6.6676536,0.125
3.0,347.0,6.5719814,0.125
3.0,348.0,6.6832075,0.0625
3.0,349.0,6.6988153,0.0
3.0,350.0,6.579925,0.0625
3.0,351.0,6.657764,0.0
3.0,352.0,6.604922,0.1875
3.0,353.0,6.6889954,0.0
3.0,354.0,6.676501,0.0625
3.0,355.0,6.6075716,0.0
3.0,356.0,6.6413465,0.0625
3.0,357.0,6.642116,0.0625
3.0,358.0,6.581722,0.0625
3.0,359.0,6.6011343,0.0
3.0,360.0,6.6839542,0.0
3.0,361.0,6.643995,0.0625
3.0,362.0,6.6602917,0.0625
3.0,363.0,6.6419535,0.1875
3.0,364.0,6.5681777,0.0625
3.0,365.0,6.669804,0.0625
3.0,366.0,6.627801,0.0
3.0,367.0,6.6027584,0.1875
3.0,368.0,6.580945,0.125
3.0,369.0,6.534041,0.1875
3.0,370.0,6.628588,0.0
3.0,371.0,6.5960054,0.0625
3.0,372.0,6.5730133,0.125
3.0,373.0,6.549393,0.0625
3.0,374.0,6.5457277,0.125
3.0,375.0,6.669972,0.0
3.0,376.0,6.6170106,0.0
3.0,377.0,6.6080046,0.0625
3.0,378.0,6.601739,0.125
3.0,379.0,6.557153,0.0625
3.0,380.0,6.570001,0.0625
3.0,381.0,6.5808053,0.0625
3.0,382.0,6.5884023,0.0
3.0,383.0,6.484671,0.0625
3.0,384.0,6.5708895,0.0625
3.0,385.0,6.567854,0.0625
3.0,386.0,6.61842,0.0
3.0,387.0,6.556904,0.125
3.0,388.0,6.461798,0.125
3.0,389.0,6.545404,0.0625
3.0,390.0,6.550012,0.0
3.0,391.0,6.6046705,0.125
3.0,392.0,6.441432,0.0625
3.0,393.0,6.514273,0.125
3.0,394.0,6.5715456,0.0
3.0,395.0,6.5841713,0.0
3.0,396.0,6.545441,0.0625
3.0,397.0,6.5428743,0.0625
3.0,398.0,6.4276295,0.0625
3.0,399.0,6.5086904,0.125
3.0,400.0,6.4735093,0.0625
3.0,401.0,6.593226,0.125
3.0,402.0,6.5588803,0.125
3.0,403.0,6.512229,0.0
3.0,404.0,6.5515227,0.0625
3.0,405.0,6.4813757,0.0625
3.0,406.0,6.537183,0.0
3.0,407.0,6.5390725,0.0625
3.0,408.0,6.4466004,0.0625
3.0,409.0,6.5451264,0.0
3.0,410.0,6.5834236,0.0625
3.0,411.0,6.4564805,0.125
3.0,412.0,6.481192,0.0
3.0,413.0,6.522253,0.0625
3.0,414.0,6.527352,0.0625
3.0,415.0,6.453656,0.125
3.0,416.0,6.5684257,0.0
3.0,417.0,6.4806066,0.0625
3.0,418.0,6.4534435,0.0625
3.0,419.0,6.460858,0.0
3.0,420.0,6.527115,0.0
3.0,421.0,6.4335318,0.0
3.0,422.0,6.451525,0.0625
3.0,423.0,6.462352,0.0
3.0,424.0,6.5602875,0.0
3.0,425.0,6.515478,0.0
3.0,426.0,6.3741384,0.0625
3.0,427.0,6.4633727,0.0625
3.0,428.0,6.391409,0.125
3.0,429.0,6.359811,0.125
3.0,430.0,6.5656047,0.0625
3.0,431.0,6.3871384,0.0
3.0,432.0,6.51768,0.0
3.0,433.0,6.4742236,0.0625
3.0,434.0,6.420009,0.125
3.0,435.0,6.332945,0.125
3.0,436.0,6.3792353,0.0
3.0,437.0,6.3046823,0.0625
3.0,438.0,6.3635197,0.0
3.0,439.0,6.3097057,0.0625
3.0,440.0,6.392538,0.1875
3.0,441.0,6.2881517,0.0625
3.0,442.0,6.3022776,0.25
3.0,443.0,6.2506304,0.25
3.0,444.0,6.3100376,0.0625
3.0,445.0,6.4296913,0.0
3.0,446.0,6.249241,0.125
3.0,447.0,6.3159266,0.0625
3.0,448.0,6.29705,0.0
3.0,449.0,6.3183193,0.0
3.0,450.0,6.2254195,0.1875
4.0,451.0,6.4176054,0.0
4.0,452.0,6.335791,0.0
4.0,453.0,6.318702,0.1875
4.0,454.0,6.223383,0.0625
4.0,455.0,6.2596583,0.0
4.0,456.0,6.2667594,0.0
4.0,457.0,6.281411,0.1875
4.0,458.0,6.2440777,0.0
4.0,459.0,6.251236,0.0625
4.0,460.0,6.188925,0.0625
4.0,461.0,6.1883693,0.0
4.0,462.0,6.406204,0.0
4.0,463.0,6.3095207,0.0
4.0,464.0,6.324189,0.0
4.0,465.0,6.1638885,0.1875
4.0,466.0,6.112511,0.1875
4.0,467.0,6.203053,0.0
4.0,468.0,6.23473,0.125
4.0,469.0,6.1251125,0.0625
4.0,470.0,6.1756363,0.0625
4.0,471.0,6.1363955,0.0
4.0,472.0,6.263164,0.0625
4.0,473.0,6.07018,0.0625
4.0,474.0,6.0733933,0.0625
4.0,475.0,6.207339,0.0
4.0,476.0,6.0880623,0.125
4.0,477.0,6.0580163,0.125
4.0,478.0,6.016201,0.25
4.0,479.0,6.1091924,0.125
4.0,480.0,6.0241966,0.1875
4.0,481.0,5.9889727,0.0
4.0,482.0,6.053056,0.0
4.0,483.0,6.040664,0.0
4.0,484.0,6.042153,0.0625
4.0,485.0,6.0281076,0.0625
4.0,486.0,5.87586,0.125
4.0,487.0,6.064277,0.0625
4.0,488.0,5.8929973,0.0625
4.0,489.0,6.060665,0.0625
4.0,490.0,5.7932467,0.25
4.0,491.0,6.03216,0.0625
4.0,492.0,5.885553,0.0625
4.0,493.0,5.8860126,0.0625
4.0,494.0,5.898274,0.0625
4.0,495.0,5.71196,0.0625
4.0,496.0,5.9657307,0.0625
4.0,497.0,5.8454027,0.0625
4.0,498.0,5.939959,0.0
4.0,499.0,5.7938657,0.0
4.0,500.0,5.7065744,0.125
4.0,501.0,5.771526,0.0625
4.0,502.0,5.730924,0.125
4.0,503.0,5.683893,0.0625
4.0,504.0,5.7358522,0.0
