类别,precision,recall,f1-score,support,accuracy
开花成熟-中旱,1.0,1.0,1.0,50.0,1.0
开花成熟-轻旱,1.0,1.0,1.0,50.0,1.0
开花成熟-适宜,1.0,1.0,1.0,50.0,1.0
开花成熟-重旱,1.0,1.0,1.0,50.0,1.0
抽穗开花-中旱,1.0,1.0,1.0,50.0,1.0
抽穗开花-轻旱,1.0,1.0,1.0,50.0,1.0
抽穗开花-适宜,1.0,1.0,1.0,50.0,1.0
抽穗开花-重旱,1.0,1.0,1.0,50.0,1.0
起身拔节-中旱,0.8928571428571429,1.0,0.9433962264150945,50.0,1.0
起身拔节-轻旱,0.9111111111111111,0.82,0.8631578947368421,50.0,0.82
起身拔节-适宜,0.7959183673469388,0.78,0.7878787878787878,50.0,0.78
起身拔节-重旱,0.86,0.86,0.8599999999999999,50.0,0.86
macro avg,0.954990551776266,0.955,0.9545360757525603,600.0,0.955
weighted avg,0.954990551776266,0.955,0.9545360757525604,600.0,0.955
