Epoch,Batch,Train_Loss,Train_Accuracy,train_precision,train_recall,train_f1-score
0.0,0.0,11.28112,0.0,0.0,0.0,0.0
1.0,1.0,9.442938,0.0,0.0,0.0,0.0
1.0,2.0,8.623012,0.0,0.0,0.0,0.0
1.0,3.0,6.975681,0.0,0.0,0.0,0.0
1.0,4.0,6.5774837,0.0,0.0,0.0,0.0
1.0,5.0,7.0688124,0.0,0.0,0.0,0.0
1.0,6.0,6.946967,0.0,0.0,0.0,0.0
1.0,7.0,6.564791,0.0,0.0,0.0,0.0
1.0,8.0,6.4151216,0.0,0.0,0.0,0.0
1.0,9.0,6.78221,0.0,0.0,0.0,0.0
1.0,10.0,6.4114194,0.0625,0.043478260869565216,0.043478260869565216,0.043478260869565216
1.0,11.0,5.7304487,0.0,0.0,0.0,0.0
1.0,12.0,5.900598,0.0,0.0,0.0,0.0
1.0,13.0,5.6494203,0.125,0.015037593984962405,0.05263157894736842,0.023391812865497078
1.0,14.0,6.07502,0.0,0.0,0.0,0.0
1.0,15.0,5.4828453,0.0,0.0,0.0,0.0
1.0,16.0,5.414751,0.0625,0.009523809523809525,0.023809523809523808,0.01360544217687075
1.0,17.0,5.2637367,0.125,0.014285714285714285,0.03333333333333333,0.02
1.0,18.0,5.230964,0.0,0.0,0.0,0.0
1.0,19.0,4.52115,0.125,0.14285714285714285,0.08928571428571429,0.09999999999999999
1.0,20.0,4.5652905,0.125,0.06666666666666667,0.04444444444444444,0.05333333333333334
1.0,21.0,5.0738783,0.125,0.049999999999999996,0.14285714285714285,0.07142857142857142
1.0,22.0,5.0404396,0.0,0.0,0.0,0.0
1.0,23.0,5.2214446,0.0,0.0,0.0,0.0
1.0,24.0,3.7208357,0.25,0.06153846153846154,0.11538461538461539,0.07967032967032966
1.0,25.0,3.7586133,0.25,0.13690476190476192,0.21428571428571427,0.13231292517006804
1.0,26.0,3.849762,0.125,0.02222222222222222,0.06666666666666667,0.03333333333333333
1.0,27.0,3.5657983,0.0625,0.07142857142857142,0.07142857142857142,0.07142857142857142
1.0,28.0,3.442454,0.0625,0.017857142857142856,0.03571428571428571,0.023809523809523808
1.0,29.0,3.417289,0.1875,0.07222222222222222,0.12222222222222222,0.09015873015873016
1.0,30.0,3.484985,0.1875,0.11538461538461539,0.11538461538461539,0.10256410256410256
1.0,31.0,3.138697,0.1875,0.14583333333333334,0.15277777777777776,0.14444444444444446
1.0,32.0,2.6970408,0.3125,0.2692307692307692,0.21794871794871795,0.21794871794871792
