Epoch,Test_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score
0.0,3.9459493160247803,0.08666666666666667,0.09479250707098809,0.08666666666666667,0.0422985758140682
1.0,0.7158977389335632,0.5093333333333333,0.5988757174899388,0.5093333333333334,0.44740257478479606
2.0,1.6803104877471924,0.7466666666666667,0.7499451370318876,0.7466666666666666,0.7133875789166894
3.0,1.7187845706939697,0.796,0.8485967344904726,0.7959999999999999,0.7800448936401444
4.0,2.1200897693634033,0.884,0.9080013160301079,0.8840000000000001,0.8793336646910656
5.0,2.0226569175720215,0.9013333333333333,0.9272711322813922,0.9013333333333333,0.8978864309814484
6.0,1.500812292098999,0.884,0.911204323302684,0.884,0.8803722403667038
7.0,0.9395355582237244,0.9493333333333334,0.9548544404234061,0.9493333333333336,0.9495110877537302
8.0,0.8519101738929749,0.924,0.9416019128493772,0.9239999999999999,0.9173688627835812
9.0,1.0724674463272095,0.9386666666666666,0.9451134553943227,0.9386666666666666,0.9380191712059317
10.0,1.2566930055618286,0.9746666666666667,0.9763127122394603,0.9746666666666667,0.9746499963887074
11.0,0.491060346364975,0.972,0.9736671078687884,0.9720000000000001,0.9719742225131388
12.0,2.1892306804656982,0.9413333333333334,0.953518777188245,0.9413333333333334,0.9416527649053781
13.0,0.2676927447319031,0.9626666666666667,0.9702945145669604,0.9626666666666668,0.9618158698294763
14.0,1.3767598867416382,0.888,0.9278995623956863,0.888,0.8725138507138759
15.0,0.5815133452415466,0.9706666666666667,0.9760957996252114,0.9706666666666667,0.9700758733433772
16.0,0.36571717262268066,0.952,0.961093613730077,0.9519999999999998,0.9508225893289949
17.0,1.7807226181030273,0.8933333333333333,0.9289479497162677,0.8933333333333333,0.8853601206055174
18.0,0.5043680667877197,0.9773333333333334,0.9807088102029208,0.9773333333333334,0.9770531757290385
19.0,0.4389854371547699,0.9773333333333334,0.9799870988550234,0.9773333333333334,0.9766863251143525
20.0,0.9123278260231018,0.9853333333333333,0.9866595221084384,0.9853333333333334,0.9853123181538801
21.0,0.9994732141494751,0.944,0.9575286935286935,0.9440000000000001,0.942720050867991
22.0,0.5788237452507019,0.9906666666666667,0.9911904362884755,0.9906666666666666,0.9906715298732062
23.0,0.174162358045578,0.9773333333333334,0.9794158777164566,0.9773333333333335,0.9773030805932631
24.0,0.054244399070739746,0.98,0.9821059057901163,0.98,0.9800585074130805
25.0,1.1121677160263062,0.9773333333333334,0.9791907213813908,0.9773333333333335,0.9765042650263654
26.0,0.30620115995407104,0.9866666666666667,0.9876525174172233,0.9866666666666667,0.9866817979385938
27.0,0.11175889521837234,0.996,0.9961287078934138,0.9960000000000001,0.9960125424307137
28.0,0.11215062439441681,0.9773333333333334,0.9788497665856156,0.9773333333333334,0.9772756206706087
29.0,0.9493146538734436,0.9813333333333333,0.9817119668865304,0.9813333333333334,0.9812694901811942
30.0,0.13446274399757385,0.9866666666666667,0.9872040953375956,0.9866666666666667,0.9867094855901015
