Epoch,Test_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score
0.0,2.274824619293213,0.06933333333333333,0.03499967868388921,0.06933333333333333,0.02684130780597917
1.0,2.1923346519470215,0.624,0.6580575062038354,0.6240000000000001,0.5977506602460454
2.0,1.8061693906784058,0.78,0.7936432560510401,0.78,0.768972121381048
3.0,1.557674765586853,0.8093333333333333,0.8266571867978997,0.8093333333333335,0.8032777972924808
4.0,1.5959552526474,0.9013333333333333,0.9116589754368262,0.9013333333333333,0.8981035007354483
5.0,1.3880187273025513,0.9133333333333333,0.9172400273615599,0.9133333333333334,0.9118789460182677
6.0,1.474657416343689,0.9333333333333333,0.9374276381045258,0.9333333333333332,0.9317712510807593
7.0,1.4146766662597656,0.94,0.9424231249016336,0.94,0.9383672797161305
8.0,1.3041998147964478,0.9533333333333334,0.9541403477398714,0.9533333333333334,0.9526480511516495
9.0,1.368261694908142,0.956,0.9576632529713253,0.9560000000000001,0.9552888700445088
10.0,1.2794368267059326,0.9626666666666667,0.9635267808911883,0.9626666666666667,0.962100967929777
11.0,0.9690488576889038,0.9706666666666667,0.9709813048696475,0.9706666666666666,0.9705805085095437
12.0,0.9736294150352478,0.9786666666666667,0.979410168187186,0.9786666666666667,0.9784756795058871
13.0,1.0738269090652466,0.9773333333333334,0.9783808324963631,0.9773333333333334,0.9771231338215544
14.0,1.0440021753311157,0.9813333333333333,0.982490043622674,0.9813333333333333,0.9812111241656912
15.0,0.8403133749961853,0.9853333333333333,0.9861968097262215,0.9853333333333334,0.9851656190157864
16.0,0.7890177369117737,0.9813333333333333,0.9825445320847255,0.9813333333333333,0.9810097924611426
17.0,0.6210789680480957,0.988,0.9885760572035082,0.9880000000000001,0.9879323923792988
18.0,0.527515709400177,0.9933333333333333,0.9936120360093723,0.9933333333333334,0.9933294633970786
19.0,0.5432023406028748,0.9906666666666667,0.9910479334452698,0.9906666666666667,0.9905753575948736
20.0,0.5272541642189026,0.9906666666666667,0.9911401597676107,0.9906666666666667,0.9906577196181156
21.0,0.41886812448501587,0.9933333333333333,0.9935143288084465,0.9933333333333335,0.993331866199825
22.0,0.4396197497844696,0.9933333333333333,0.9935143288084465,0.9933333333333335,0.993331866199825
23.0,0.35445526242256165,0.9946666666666667,0.9947712418300654,0.9946666666666668,0.9946523904091086
24.0,0.4020405113697052,0.996,0.9961287078934138,0.9960000000000001,0.9959987995598278
25.0,0.3403479754924774,0.9973333333333333,0.9974358974358974,0.9973333333333334,0.9973322662398292
26.0,0.36921676993370056,0.9973333333333333,0.9974358974358974,0.9973333333333334,0.9973322662398292
27.0,0.3948881924152374,0.996,0.9961287078934138,0.9960000000000001,0.9959987995598278
28.0,0.2960926592350006,0.996,0.9961287078934138,0.9960000000000001,0.9959987995598278
29.0,0.24921752512454987,0.996,0.9961287078934138,0.9960000000000001,0.9959987995598278
30.0,0.3374957740306854,0.9946666666666667,0.994919225551856,0.9946666666666667,0.99466293007708
